case,seed,dispatch,task_id,cumulative_share
case3,2,4400,1,0.202273
case3,2,4400,2,0.198636
case3,2,4400,3,0.191591
case3,2,4400,4,0.197273
case3,2,4400,5,0.210227
case3,2,4500,1,0.201333
case3,2,4500,2,0.199111
case3,2,4500,3,0.192222
case3,2,4500,4,0.198000
case3,2,4500,5,0.209333
case3,2,4600,1,0.201304
case3,2,4600,2,0.199783
case3,2,4600,3,0.190870
case3,2,4600,4,0.198696
case3,2,4600,5,0.209348
case3,2,4700,1,0.200426
case3,2,4700,2,0.199149
case3,2,4700,3,0.190426
case3,2,4700,4,0.199362
case3,2,4700,5,0.210638
case3,2,4800,1,0.201250
case3,2,4800,2,0.197708
case3,2,4800,3,0.190000
case3,2,4800,4,0.199167
case3,2,4800,5,0.211875
case3,2,4900,1,0.201020
case3,2,4900,2,0.196939
case3,2,4900,3,0.190612
case3,2,4900,4,0.200408
case3,2,4900,5,0.211020
case3,2,5000,1,0.201400
case3,2,5000,2,0.198600
case3,2,5000,3,0.189600
case3,2,5000,4,0.198200
case3,2,5000,5,0.212200
case3,2,5100,1,0.202941
case3,2,5100,2,0.198824
case3,2,5100,3,0.189804
case3,2,5100,4,0.197059
case3,2,5100,5,0.211373
case3,2,5200,1,0.201538
case3,2,5200,2,0.199038
case3,2,5200,3,0.189808
case3,2,5200,4,0.197692
case3,2,5200,5,0.211923
case3,2,5300,1,0.202075
case3,2,5300,2,0.198491
case3,2,5300,3,0.190189
case3,2,5300,4,0.197358
case3,2,5300,5,0.211887
case3,2,5400,1,0.202037
case3,2,5400,2,0.198704
case3,2,5400,3,0.190370
case3,2,5400,4,0.197963
case3,2,5400,5,0.210926
case3,2,5500,1,0.202182
case3,2,5500,2,0.198545
case3,2,5500,3,0.190727
case3,2,5500,4,0.197818
case3,2,5500,5,0.210727
case3,2,5600,1,0.201607
case3,2,5600,2,0.198393
case3,2,5600,3,0.191429
case3,2,5600,4,0.197679
case3,2,5600,5,0.210893
case3,2,5700,1,0.201228
case3,2,5700,2,0.198246
case3,2,5700,3,0.192982
case3,2,5700,4,0.197018
case3,2,5700,5,0.210526
case3,2,5800,1,0.200517
case3,2,5800,2,0.197759
case3,2,5800,3,0.192586
case3,2,5800,4,0.198966
case3,2,5800,5,0.210172
case3,2,5900,1,0.200508
case3,2,5900,2,0.197966
case3,2,5900,3,0.193898
case3,2,5900,4,0.197966
case3,2,5900,5,0.209661
case3,2,6000,1,0.200833
case3,2,6000,2,0.197833
case3,2,6000,3,0.194500
case3,2,6000,4,0.198167
case3,2,6000,5,0.208667
case3,2,6100,1,0.200492
case3,2,6100,2,0.198525
case3,2,6100,3,0.193934
case3,2,6100,4,0.198689
case3,2,6100,5,0.208361
case3,2,6200,1,0.200000
case3,2,6200,2,0.198710
case3,2,6200,3,0.194516
case3,2,6200,4,0.198871
case3,2,6200,5,0.207903
case3,2,6300,1,0.199206
case3,2,6300,2,0.198571
case3,2,6300,3,0.195079
case3,2,6300,4,0.198413
case3,2,6300,5,0.208730
case3,2,6400,1,0.199219
case3,2,6400,2,0.198594
case3,2,6400,3,0.195625
case3,2,6400,4,0.197969
case3,2,6400,5,0.208594
case3,2,6500,1,0.198308
case3,2,6500,2,0.199231
case3,2,6500,3,0.195692
case3,2,6500,4,0.198154
case3,2,6500,5,0.208615
case3,2,6600,1,0.199545
case3,2,6600,2,0.199545
case3,2,6600,3,0.195606
case3,2,6600,4,0.198333
case3,2,6600,5,0.206970
case3,2,6700,1,0.199851
case3,2,6700,2,0.200149
case3,2,6700,3,0.195522
case3,2,6700,4,0.198060
case3,2,6700,5,0.206418
case3,2,6800,1,0.200147
case3,2,6800,2,0.200588
case3,2,6800,3,0.195147
case3,2,6800,4,0.197794
case3,2,6800,5,0.206324
case3,2,6900,1,0.199420
case3,2,6900,2,0.200290
case3,2,6900,3,0.194928
case3,2,6900,4,0.197681
case3,2,6900,5,0.207681
case3,2,7000,1,0.199857
case3,2,7000,2,0.199429
case3,2,7000,3,0.195000
case3,2,7000,4,0.198143
case3,2,7000,5,0.207571
case3,2,7100,1,0.199014
case3,2,7100,2,0.201690
case3,2,7100,3,0.194789
case3,2,7100,4,0.197465
case3,2,7100,5,0.207042
case3,2,7200,1,0.199583
case3,2,7200,2,0.201250
case3,2,7200,3,0.194722
case3,2,7200,4,0.198056
case3,2,7200,5,0.206389
case3,2,7300,1,0.199726
case3,2,7300,2,0.201370
case3,2,7300,3,0.195205
case3,2,7300,4,0.197808
case3,2,7300,5,0.205890
case3,2,7400,1,0.199459
case3,2,7400,2,0.201622
